# mode=adp T=8.0 Ts=0.01 dt=0.002 K=800 plant_ticks=3994 wall_ms=8001 plant_late_max_us=2101
# freq_hz=200000000 ctrl_cpu=0 plant_cpu=1 micropython=1.24.0
# exec_us avg=561.1 max=607 | tick_us(incl log/gc) avg=917.6 max=4552 | Ts_us=10000
k,y,u,exec_us,tot_us
0,0.700000,-23.97941,784,4645
1,0.703943,-16.23094,607,663
2,0.708565,-7.94663,575,628
3,0.712631,-1.21243,555,601
4,0.715961,4.18643,564,614
5,0.718423,8.43947,561,612
6,0.719925,11.71446,555,606
7,0.720409,14.15999,549,600
8,0.719844,15.90762,553,605
9,0.718221,17.07347,557,608
10,0.715552,17.75966,565,4552
11,0.711860,18.05556,560,609
12,0.707183,18.03883,565,613
13,0.701565,17.77650,586,637
14,0.695058,17.32596,562,614
15,0.687720,16.73581,559,609
16,0.679609,16.04685,555,610
17,0.670788,15.29288,561,611
18,0.661319,14.50154,561,611
19,0.651262,13.69508,576,629
20,0.640681,12.89110,562,4020
21,0.629632,12.10316,566,619
22,0.618173,11.34144,566,619
23,0.606359,10.61325,583,639
24,0.594243,9.92356,568,622
25,0.581872,9.27540,551,601
26,0.569293,8.67024,562,615
27,0.556550,8.10833,551,601
28,0.543683,7.58896,544,593
29,0.530729,7.11074,582,634
30,0.517723,6.67173,550,3710
31,0.504697,6.26964,560,613
32,0.491680,5.90199,565,617
33,0.478698,5.56615,571,621
34,0.465777,5.25947,560,614
35,0.452939,4.97935,554,604
36,0.440202,4.72326,559,611
37,0.427586,4.48878,555,603
38,0.415107,4.27364,558,611
39,0.402779,4.07573,578,625
40,0.390616,3.89310,549,3709
41,0.378627,3.72398,565,615
42,0.366824,3.56675,560,612
43,0.355216,3.41996,575,626
44,0.343810,3.28233,544,593
45,0.332612,3.15271,545,595
46,0.321628,3.03009,552,603
47,0.310862,2.91360,555,607
48,0.300320,2.80245,549,602
49,0.290002,2.69600,579,629
50,0.279913,2.59369,558,3719
51,0.270053,2.49503,567,618
52,0.260424,2.39962,548,601
53,0.251025,2.30713,576,625
54,0.241859,2.21728,551,605
55,0.232923,2.12985,548,603
56,0.224217,2.04466,549,600
57,0.215740,1.96156,554,606
58,0.207491,1.88044,550,599
59,0.199468,1.80123,577,630
60,0.191668,1.72385,551,3717
61,0.184089,1.64827,556,609
62,0.176730,1.57447,561,611
63,0.169586,1.50241,579,628
64,0.162656,1.43211,562,613
65,0.155935,1.36355,559,610
66,0.149422,1.29675,556,605
67,0.143111,1.23171,560,613
68,0.137001,1.16843,560,609
69,0.131088,1.10694,577,628
70,0.125367,1.04723,563,3722
71,0.119835,0.98932,561,612
72,0.114488,0.93320,551,602
73,0.109323,0.87889,581,634
74,0.104335,0.82639,551,603
75,0.099521,0.77568,560,611
76,0.094876,0.72677,556,609
77,0.090397,0.67964,548,598
78,0.086080,0.63428,549,602
79,0.081921,0.59067,580,634
80,0.077915,0.54881,557,3717
81,0.074060,0.50865,551,605
82,0.070351,0.47019,562,613
83,0.066783,0.43338,573,626
84,0.063355,0.39821,557,606
85,0.060060,0.36464,535,586
86,0.056896,0.33263,557,607
87,0.053859,0.30215,560,609
88,0.050945,0.27317,548,599
89,0.048151,0.24564,571,622
90,0.045473,0.21952,552,3710
91,0.042907,0.19478,557,611
92,0.040450,0.17136,558,608
93,0.038099,0.14924,572,620
94,0.035849,0.12837,554,603
95,0.033698,0.10870,556,610
96,0.031643,0.09019,551,605
97,0.029680,0.07281,546,597
98,0.027806,0.05650,555,609
99,0.026019,0.04123,578,629
100,0.024314,0.02696,548,3701
101,0.022689,0.01365,563,615
102,0.021142,0.00124,560,612
103,0.019669,-0.01028,578,630
104,0.018268,-0.02097,550,603
105,0.016937,-0.03086,557,610
