# mode=rbf T=30.0 Ts=0.01 dt=0.002 K=3000 plant_ticks=15018 wall_ms=30050 plant_late_max_us=3548
# freq_hz=200000000 ctrl_cpu=0 plant_cpu=1 micropython=1.24.0
# exec_us avg=2922.9 max=2993 | tick_us(incl log/gc) avg=3505.9 max=8401 | Ts_us=10000
k,y,u,exec_us,tot_us
0,0.000000,28.40000,3200,6660
1,0.000005,25.92488,2921,2980
2,0.000094,20.60562,2902,2964
3,0.000386,16.40377,2871,2927
4,0.000975,13.25826,2864,2922
5,0.001926,10.59117,2879,2936
6,0.003283,8.21397,2878,2937
7,0.005073,6.11376,2868,2926
8,0.007308,4.31024,2875,2932
9,0.009987,2.83371,2867,2922
10,0.013101,1.71260,2863,8315
11,0.015893,0.99009,2893,2950
12,0.020552,0.58750,2880,2940
13,0.024835,0.63927,2932,2990
14,0.029451,1.11288,2863,2918
15,0.034369,1.90139,2864,2920
16,0.039561,2.73097,2865,2921
17,0.045005,3.34735,2877,2936
18,0.050679,3.69289,2869,2930
19,0.056569,3.83824,2875,2934
20,0.062658,3.86935,2880,8358
21,0.067664,3.84547,2929,2986
22,0.075380,3.82957,2879,2935
23,0.081984,3.83535,2921,2981
24,0.088731,3.87378,2871,2926
25,0.095605,3.93294,2860,2916
26,0.102592,3.99325,2872,2927
27,0.109677,4.04413,2853,2908
28,0.116843,4.09180,2873,2930
29,0.124077,4.15481,2867,2921
30,0.131363,4.25217,2881,8363
31,0.137220,4.33600,2891,2951
32,0.146034,4.56983,2881,2940
33,0.153390,4.75780,2923,2978
34,0.160742,4.93713,2872,2929
35,0.168075,5.10381,2868,2924
36,0.175380,5.25882,2869,2925
37,0.182643,5.40779,2865,2921
38,0.189853,5.55707,2873,2930
39,0.197001,5.71108,2870,2926
40,0.204076,5.87122,2925,8399
41,0.209677,5.97605,2922,2980
42,0.217969,6.21024,2898,2958
43,0.224769,6.37807,2949,3010
44,0.231460,6.53782,2911,2967
45,0.238034,6.69178,2897,2954
46,0.244484,6.83926,2914,2972
47,0.250804,6.97995,2891,2953
48,0.256988,7.11389,2899,2957
49,0.263029,7.24124,2911,2967
50,0.268922,7.36212,2918,8392
51,0.273527,7.41296,2917,2976
52,0.280247,7.59274,2911,2970
53,0.285668,7.69637,2955,3015
54,0.290924,7.78971,2909,2966
55,0.296010,7.87639,2899,2959
56,0.300924,7.95638,2897,2953
57,0.305661,8.02942,2888,2946
58,0.310221,8.09527,2889,2946
59,0.314600,8.15364,2885,2944
60,0.318796,8.20425,2896,8372
61,0.322020,8.17535,2920,2979
62,0.326633,8.28962,2909,2970
63,0.330271,8.31736,2950,3009
64,0.333719,8.33218,2894,2951
65,0.336978,8.33764,2898,2956
66,0.340047,8.33360,2892,2949
67,0.342925,8.31983,2900,2955
68,0.345612,8.29616,2896,2954
69,0.348108,8.26255,2889,2948
70,0.350414,8.21905,2896,8368
71,0.352121,8.08597,2896,2954
72,0.354453,8.11330,2915,2974
73,0.356187,8.04413,2953,3009
74,0.357731,7.96209,2883,2939
75,0.359086,7.87180,2880,2936
76,0.360253,7.77397,2893,2951
77,0.361232,7.66911,2900,2962
78,0.362024,7.55767,2887,2946
79,0.362630,7.44009,2889,2949
80,0.363051,7.31672,2879,8349
81,0.363255,7.09444,2922,2981
82,0.363340,7.06657,2911,2967
83,0.363209,6.93027,2947,3002
84,0.362897,6.78424,2891,2946
85,0.362403,6.63351,2897,2955
86,0.361730,6.47849,2907,2965
87,0.360877,6.31935,2903,2960
88,0.359847,6.15630,2899,2955
89,0.358641,5.98958,2884,2945
90,0.357259,5.81947,2901,8373
